uniprotID_S288c	Standard _A	Standard _B	Standard _C
P00359	5.58E-01	8.08E-01	8.22E-01
P00358	3.40E-02	4.55E-02	3.18E-02
P00360	2.89E-01	3.51E-01	3.16E-01
P46367	5.05E+00	5.32E+00	5.22E+00
P40047	1.67E-01	1.48E-01	1.54E-01
P02994	7.998475512	7.472828814	8.245538466
P19097	1.42E+00	1.43E+00	1.43E+00
P07259	1.21E+00	1.08E+00	1.18E+00
P03965	6.41E-01	5.64E-01	6.53E-01
P00560	2.66E+00	2.90E+00	2.74E+00
P07149	1.59E+00	1.39E+00	1.60E+00
P05694	1.93E+00	1.97E+00	1.87E+00
P04806	6.56E-01	6.02E-01	4.79E-01
P04807	1.56E-01	1.74E-01	1.80E-01
P22202	1.01E-01	1.14E-01	1.16E-01
P09435	4.46E-01	4.65E-01	4.45E-01
P16474	4.44E-01	5.15E-01	4.45E-01
P32324	1.70E+00	1.67E+00	1.81E+00
P06169	1.84E+00	1.91E+00	1.89E+00
P26263	3.92E-02	3.12E-02	4.93E-02
Q00955	1.13E+00	1.16E+00	1.03E+00
Q01574	1.44E+00	1.39E+00	1.42E+00
P52910	3.02E-01	2.98E-01	2.88E-01
P00830	1.26E+00	1.40E+00	1.40E+00
P16861	4.18E-01	4.33E-01	4.35E-01
P16862	4.45E-01	4.44E-01	4.51E-01
P00549	1.47E+00	1.57E+00	1.49E+00
P52489	2.19E-03	2.14E-03	8.67E-03
Q02207	5.10E-01	5.73E-01	5.90E-01
P06105	2.44E-01	2.63E-01	2.57E-01
P16521	8.68E-01	8.00E-01	8.80E-01
P53978	1.26E-01	1.25E-01	1.44E-01
P19414	7.71E-01	8.20E-01	8.04E-01
P39533	3.21E-01	3.33E-01	3.45E-01
P54115	1.31E+00	1.33E+00	1.28E+00
P02829	1.08E+00	1.90E+00	1.65E+00
P00924	1.80E+00	2.08E+00	1.95E+00
P38689	5.76E-02	6.15E-02	6.57E-02
P38620	NaN	NaN	NaN
P14540	1.44E+00	1.66E+00	1.66E+00
P31539	1.08E+00	1.09E+00	1.04E+00
P32589	7.33E-01	7.63E-01	7.26E-01
P32590	2.55E-01	2.61E-01	2.61E-01
P06168	1.30E+00	1.32E+00	1.28E+00
P38009	2.66E-01	2.91E-01	2.65E-01
P54113	8.75E-02	8.36E-02	8.03E-02
P0CS90	1.31E+00	1.34E+00	1.33E+00
P07262	4.46E-01	4.91E-01	4.93E-01
P39708	2.28E-02	2.17E-02	2.00E-02
P47169	6.79E-01	7.32E-01	7.03E-01
P19358	4.17E-01	4.61E-01	4.08E-01
P10659	1.84E-01	1.92E-01	1.85E-01
P07251	1.45E+00	1.69E+00	1.44E+00
P07245	4.72E-01	4.86E-01	5.21E-01
P09440	2.10E-02	1.93E-02	3.10E-02
P17255	5.13E-01	5.55E-01	5.33E-01
P38720	7.50E-01	7.44E-01	6.91E-01
P53319	2.57E-01	2.60E-01	2.68E-01
P11154	7.92E-01	7.68E-01	7.55E-01
P17709	3.78E-01	3.60E-01	3.51E-01
Q04409	3.19E-01	3.41E-01	2.77E-01
P05030	2.15E-01	1.93E-01	2.19E-01
P19657	6.77E-02	6.00E-02	5.32E-02
P06106	2.10E+00	2.38E+00	2.12E+00
P37291	5.27E-01	5.05E-01	4.92E-01
P37292	1.45E-01	1.48E-01	1.76E-01
P23254	5.77E-01	5.87E-01	5.81E-01
P33315	2.31E-01	2.75E-01	2.59E-01
P19882	6.38E-01	7.11E-01	7.59E-01
P60010	8.67E-01	8.17E-01	8.38E-01
P20967	5.23E-01	5.69E-01	5.70E-01
P32191	5.68E-01	5.49E-01	5.41E-01
P22137	3.41E-01	3.31E-01	3.56E-01
P18239	8.95E-01	7.47E-01	9.33E-01
P25694	5.00E-01	5.67E-01	5.29E-01
Q12680	4.00E-01	3.52E-01	4.21E-01
P08566	3.81E-01	3.57E-01	3.70E-01
P00942	8.09E-01	9.11E-01	8.44E-01
Q12460	2.14E-01	2.22E-01	2.42E-01
Q12499	1.63E-01	1.69E-01	1.89E-01
P29311	9.75E-02	9.60E-02	9.93E-02
P34730	7.02E-02	7.61E-02	6.15E-02
P00815	5.57E-01	5.83E-01	5.76E-01
Q00055	2.31E-01	2.26E-01	2.56E-01
P41911	4.13E-02	4.60E-02	4.18E-02
P15019	3.26E-01	4.26E-01	3.78E-01
P53228	8.01E-02	1.16E-01	9.31E-02
P41939	2.81E-01	2.84E-01	2.77E-01
P21954	1.46E-01	1.60E-01	1.53E-01
P53982	2.41E-02	2.89E-02	3.56E-02
P38972	4.54E-01	4.66E-01	4.53E-01
P46655	3.36E-01	3.73E-01	3.57E-01
P22768	7.74E-01	6.76E-01	6.95E-01
P07244	3.05E-01	3.15E-01	3.04E-01
Q12122	1.31E-01	1.41E-01	1.39E-01
P48570	4.85E-02	4.99E-02	4.95E-02
P39692	3.16E-01	2.66E-01	3.17E-01
P22515	3.89E-01	3.51E-01	3.71E-01
P33416	3.46E-01	3.35E-01	3.74E-01
P33442	1.30E-01	1.27E-01	1.39E-01
P23248	1.81E-01	1.72E-01	1.76E-01
P40825	4.78E-01	4.69E-01	4.27E-01
P14832	2.87E-01	2.64E-01	3.11E-01
P53691	2.07E-01	2.04E-01	1.94E-01
P25719	5.12E-02	5.54E-02	5.44E-02
P35176	1.93E-02	2.68E-02	1.76E-02
P04802	2.55E-01	3.18E-01	2.93E-01
P09624	4.60E-01	5.15E-01	4.76E-01
P06634	1.86E-01	2.48E-01	2.29E-01
P20447	1.55E-01	1.56E-01	1.66E-01
P24784	1.30E-02	8.01E-03	2.00E-02
P39976	1.57E-01	1.61E-01	1.62E-01
P46681	5.55E-02	5.20E-02	7.53E-02
P31116	3.11E-01	3.37E-01	3.40E-01
P39954	1.23E+00	1.06E+00	1.11E+00
P36008	3.31E-01	3.02E-01	3.15E-01
P29547	8.57E-01	8.33E-01	7.68E-01
Q01217	4.38E-01	3.60E-01	5.01E-01
P14126	7.35E-01	7.61E-01	8.27E-01
Q12363	9.63E-01	1.05E+00	1.02E+00
P16140	3.35E-01	3.37E-01	3.36E-01
P12709	5.65E-01	6.38E-01	6.01E-01
P38011	4.77E-01	5.43E-01	5.53E-01
P09436	2.79E-01	2.32E-01	2.85E-01
P04840	1.33E+00	1.47E+00	1.46E+00
P32316	2.76E-01	3.01E-01	2.55E-01
P00890	3.06E-01	4.86E-01	3.63E-01
P08679	8.84E-03	6.94E-03	1.44E-02
P43635	5.70E-02	5.70E-02	5.43E-02
P07256	5.07E-01	5.53E-01	4.99E-01
P15180	3.64E-01	3.68E-01	3.74E-01
Q00711	3.45E-01	3.82E-01	3.53E-01
P47052	1.35E-02	1.20E-02	1.51E-02
P04147	3.08E-01	3.16E-01	3.34E-01
P17967	4.17E-01	4.28E-01	4.26E-01
P40054	7.22E-02	6.09E-02	7.37E-02
P40510	7.63E-02	7.58E-02	7.27E-02
P07257	2.50E-01	2.90E-01	2.66E-01
P39015	3.99E-01	4.11E-01	4.38E-01
P07806	3.47E-01	2.70E-01	3.32E-01
P38088	3.15E-01	4.31E-01	3.22E-01
P15705	3.32E-01	2.47E-01	3.12E-01
P23301	6.52E-01	4.93E-01	6.40E-01
P19211	NaN	NaN	NaN
P53252	4.37E-01	3.52E-01	3.59E-01
Q12230	1.16E-01	1.22E-01	1.01E-01
P17505	2.91E-01	2.51E-01	2.50E-01
P38891	1.74E-01	1.67E-01	1.69E-01
P47176	1.27E-01	1.17E-01	1.18E-01
P26637	2.04E-01	2.01E-01	2.14E-01
P39676	3.17E-01	3.87E-01	3.20E-01
P06208	3.85E-01	3.95E-01	4.17E-01
P32454	2.12E-01	1.96E-01	2.10E-01
P37898	1.04E-01	9.77E-02	1.10E-01
P07342	5.47E-01	4.51E-01	4.76E-01
P40069	2.42E-01	1.94E-01	2.16E-01
P38999	3.88E-01	4.06E-01	4.03E-01
P38249	2.49E-01	2.47E-01	2.81E-01
P07264	4.19E-01	3.94E-01	4.42E-01
P49367	3.05E-01	2.92E-01	3.89E-01
P15992	2.30E+00	2.6334864	2.4878184
P10081	2.98E-01	3.41E-01	3.27E-01
P00931	5.40E-01	5.58E-01	5.68E-01
P00817	4.13E-01	3.78E-01	3.62E-01
P32582	2.83E-01	2.72E-01	2.34E-01
P08536	1.41E-01	2.07E-01	1.70E-01
P05750	3.45E-01	4.19E-01	3.84E-01
P49090	7.30E-02	6.21E-02	8.27E-02
P49089	1.01E-01	8.57E-02	1.08E-01
P38788	2.66E-01	2.57E-01	2.53E-01
P39522	4.06E-01	4.02E-01	4.36E-01
Q03690	2.76E-01	2.82E-01	2.57E-01
P25294	2.92E-01	3.33E-01	3.56E-01
P16120	3.47E-01	3.57E-01	3.48E-01
P38158	NaN	NaN	NaN
P53051	3.44E-02	2.99E-02	2.76E-02
P13711	2.05E-01	1.77E-01	2.01E-01
P80210	1.73E-01	1.87E-01	1.76E-01
P17076	5.29E-02	5.23E-02	5.03E-02
P29453	1.33E-01	1.15E-01	1.38E-01
P05759	5.77E-02	6.03E-02	6.11E-02
P41805	4.24E-01	4.62E-01	4.59E-01
P23641	4.13E-01	4.04E-01	4.40E-01
P32565	2.77E-01	2.21E-01	2.60E-01
P07702	2.50E-01	2.16E-01	2.53E-01
P39518	1.71E-01	1.59E-01	1.70E-01
P38998	2.44E-01	2.05E-01	2.30E-01
P38764	1.96E-01	1.76E-01	1.88E-01
P21576	2.43E-01	2.29E-01	2.50E-01
P14742	1.30E-01	1.29E-01	1.37E-01
P32340	2.07E-01	1.95E-01	1.97E-01
P38695	1.08E-01	1.03E-01	1.38E-01
P23585	1.74E-01	1.39E-01	1.65E-01
P07284	8.80E-01	7.68E-01	7.78E-01
P37012	2.07E-01	2.05E-01	2.08E-01
P33401	1.21E-02	7.13E-03	1.42E-02
P10964	1.88E-01	1.77E-01	1.80E-01
P04050	7.70E-02	6.61E-02	8.87E-02
P50095	2.42E-01	2.43E-01	2.43E-01
P50094	NaN	NaN	4.78E-03
P13663	4.07E-01	3.82E-01	3.87E-01
P08417	3.13E-01	3.53E-01	3.24E-01
P13188	1.58E-01	1.42E-01	1.56E-01
P26783	3.56E-01	4.46E-01	4.03E-01
P07263	9.47E-02	9.35E-02	9.23E-02
P38708	2.13E-01	1.96E-01	1.90E-01
P32527	1.51E-01	1.75E-01	2.00E-01
P04801	1.70E-01	1.48E-01	1.61E-01
P25087	3.67E-01	3.54E-01	3.91E-01
P41338	2.72E-01	2.99E-01	2.97E-01
P07991	1.96E-01	2.00E-01	2.08E-01
P38219	2.22E-01	2.12E-01	2.10E-01
P32476	3.66E-01	2.50E-01	3.56E-01
P38934	2.55E-01	1.52E-01	1.60E-01
Q05506	2.34E-01	2.50E-01	2.27E-01
P07267	2.63E-01	3.15E-01	2.98E-01
Q06440	1.81E-01	1.73E-01	1.89E-01
P30624	2.61E-01	2.24E-01	2.88E-01
P38427	2.20E-01	2.24E-01	2.24E-01
P38426	7.06E-02	4.97E-02	5.81E-02
P15202	5.18E-01	5.01E-01	5.30E-01
P06738	1.66E-01	1.38E-01	1.65E-01
P53312	2.03E-01	1.90E-01	1.93E-01
P32861	2.18E-01	2.40E-01	2.51E-01
P39730	1.75E-01	1.53E-01	1.75E-01
P11986	2.59E-01	3.27E-01	2.37E-01
P53622	2.02E-01	2.12E-01	2.52E-01
P33299	1.19E-01	1.35E-01	1.08E-01
P18759	9.41E-02	9.16E-02	8.99E-02
P52917	NaN	NaN	3.39E-03
P07246	6.02E-01	6.86E-01	7.27E-01
P23542	1.83E-01	1.70E-01	1.88E-01
P09938	5.35E-01	4.98E-01	5.08E-01
P34760	3.78E-01	4.45E-01	4.23E-01
Q04120	7.54E-02	5.94E-02	7.44E-02
P38968	1.72E-01	1.69E-01	2.00E-01
P53090	2.46E-01	2.21E-01	2.42E-01
P15303	1.31E-01	1.09E-01	1.12E-01
P21264	1.60E-01	1.58E-01	1.75E-01
P53598	3.34E-01	3.57E-01	3.68E-01
P25443	3.98E-01	3.84E-01	4.14E-01
P00175	3.22E-01	2.77E-01	3.13E-01
P33327	5.53E-01	5.26E-01	5.56E-01
P38013	3.29E-01	3.59E-01	3.98E-01
P47912	1.71E-01	1.68E-01	1.92E-01
P39002	NaN	NaN	NaN
P32599	1.46E-01	1.42E-01	1.42E-01
P11412	2.13E-01	2.31E-01	2.10E-01
Q08911	1.90E-01	3.21E-01	2.47E-01
P33330	1.34E-01	1.45E-01	1.53E-01
P00958	1.21E-01	1.12E-01	9.51E-02
P33892	1.21E-01	1.18E-01	1.33E-01
P25491	1.91E-01	1.93E-01	2.16E-01
P54838	1.92E-01	1.90E-01	1.99E-01
P38707	2.38E-01	1.96E-01	2.13E-01
P14065	1.01E-01	9.86E-02	1.17E-01
Q12458	1.77E-02	2.04E-02	1.82E-02
P31373	4.25E-01	4.68E-01	4.38E-01
Q05050	2.27E-01	2.57E-01	2.74E-01
P22855	1.69E-01	1.64E-01	1.59E-01
P15891	1.64E-01	1.65E-01	2.14E-01
Q12428	1.95E-01	2.07E-01	2.04E-01
P15624	1.52E-01	1.29E-01	1.48E-01
P43616	1.91E-01	2.05E-01	1.85E-01
P36060	2.52E-01	1.88E-01	2.07E-01
P39935	4.72E-01	4.63E-01	5.08E-01
P39936	2.81E-02	9.27E-03	1.85E-02
Q05911	2.07E-01	2.32E-01	2.08E-01
P05317	5.73E-01	6.51E-01	6.64E-01
Q07653	1.35E-01	1.35E-01	1.78E-01
P32481	2.13E-01	1.86E-01	1.74E-01
P31688	2.05E-01	2.03E-01	2.08E-01
P25605	1.51E-01	1.38E-01	1.54E-01
P32796	1.66E-01	1.74E-01	1.70E-01
Q05022	1.91E-01	2.05E-01	2.26E-01
P00950	1.54E-01	1.22E-01	1.22E-01
Q07551	1.50E-01	1.57E-01	1.41E-01
P28834	2.50E-01	2.76E-01	2.70E-01
P26321	4.69E-01	6.03E-01	5.53E-01
P36013	7.74E-02	5.94E-02	8.63E-02
P54839	2.24E-01	2.66E-01	2.20E-01
P41940	1.94E-01	1.93E-01	1.81E-01
P39078	1.39E-01	1.42E-01	1.84E-01
P47068	1.73E-01	1.60E-01	2.42E-01
Q06151	3.23E-02	3.97E-02	3.54E-02
Q12123	6.43E-02	7.94E-02	6.67E-02
P32074	2.70E-01	3.24E-01	3.16E-01
P28241	3.61E-01	4.29E-01	5.13E-01
P0C2H6	4.26E-01	4.52E-01	5.09E-01
P36112	1.11E-01	1.16E-01	1.15E-01
P40495	2.17E-01	2.02E-01	2.16E-01
P43567	1.96E-01	2.39E-01	2.11E-01
P32449	3.25E-01	3.14E-01	3.53E-01
P39940	1.13E-01	9.55E-02	1.23E-01
P32891	2.05E-01	2.14E-01	2.02E-01
Q07478	1.58E-01	1.66E-01	1.78E-01
P53549	4.93E-02	6.27E-02	5.63E-02
Q01939	4.62E-02	5.16E-02	6.02E-02
P33298	NaN	6.90E-03	9.00E-03
P38625	1.29E-01	1.32E-01	1.27E-01
P21801	1.33E-01	1.05E-01	1.01E-01
P34216	1.11E-01	1.01E-01	1.61E-01
P05737	1.83E-02	2.03E-02	1.06E-02
P00724	1.97E-01	2.01E-01	2.08E-01
P39076	6.24E-02	1.06E-01	1.09E-01
P53278	1.43E-01	1.33E-01	1.46E-01
Q12449	1.85E-01	1.78E-01	1.88E-01
P53834	8.33E-03	7.23E-03	8.73E-03
P06103	1.77E-01	1.59E-01	1.52E-01
P41811	1.17E-01	9.94E-02	1.20E-01
P16603	2.12E-01	2.09E-01	2.20E-01
P00927	8.87E-02	8.94E-02	9.45E-02
P09733	9.06E-02	7.87E-02	8.17E-02
P09734	2.91E-02	3.59E-02	3.73E-02
P08524	4.13E-01	3.68E-01	4.17E-01
P28240	2.17E-01	2.22E-01	2.33E-01
P16387	2.11E-01	2.26E-01	2.27E-01
P38115	2.52E-01	2.51E-01	2.69E-01
P15625	1.11E-01	8.40E-02	9.60E-02
P38113	1.04E+00	9.26E-01	8.66E-01
P32473	4.49E-01	5.05E-01	4.65E-01
P00899	1.38E-01	1.32E-01	1.60E-01
P32614	1.40E-01	1.47E-01	1.41E-01
P47117	7.18E-02	7.53E-02	9.61E-02
P46680	1.21E-01	1.22E-01	1.18E-01
P10869	2.68E-01	2.48E-01	2.32E-01
Q12335	2.58E-01	2.83E-01	3.06E-01
P39516	2.24E-02	2.15E-02	2.15E-02
P06367	2.57E-02	2.63E-02	2.62E-02
P40217	9.46E-02	1.08E-01	1.05E-01
P54885	1.01E-01	1.03E-01	1.14E-01
P38845	8.74E-02	9.35E-02	1.33E-01
P33734	1.67E-01	1.58E-01	1.53E-01
P36775	1.08E-01	1.08E-01	9.44E-02
P32419	7.88E-02	7.99E-02	8.74E-02
P32558	1.41E-01	1.10E-01	1.36E-01
P40482	1.54E-01	1.13E-01	1.33E-01
Q00764	2.22E-01	2.20E-01	2.49E-01
P26786	5.64E-02	4.93E-02	5.77E-02
P48164	2.31E-02	1.98E-02	1.72E-02
P40302	1.76E-01	1.78E-01	1.65E-01
P38077	9.55E-02	1.11E-01	1.07E-01
P04076	2.11E-01	1.86E-01	2.03E-01
P51401	6.15E-03	1.05E-02	1.37E-02
P05738	7.92E-03	1.06E-02	1.33E-02
P05150	1.67E-01	1.62E-01	1.77E-01
P00937	1.52E-01	1.55E-01	1.94E-01
P39079	8.21E-02	7.91E-02	7.55E-02
P31412	2.09E-01	2.16E-01	1.98E-01
P25623	1.12E-01	1.26E-01	1.32E-01
P43603	6.37E-02	6.12E-02	6.37E-02
P32793	2.40E-02	9.57E-03	2.18E-02
P26785	1.03E-01	1.23E-01	1.12E-01
P26784	6.15E-02	7.08E-02	6.57E-02
P29509	8.22E-02	1.02E-01	1.06E-01
P38816	3.55E-02	4.45E-02	3.60E-02
Q02326	3.77E-02	3.99E-02	5.07E-02
P05739	3.50E-02	3.46E-02	2.96E-02
Q03558	7.79E-02	5.58E-02	4.77E-02
P41816	1.08E-02	5.08E-03	1.37E-02
P41810	1.49E-01	1.42E-01	1.60E-01
Q08972	1.69E-01	1.64E-01	1.79E-01
P49723	1.74E-01	2.92E-01	2.39E-01
P02992	1.68E-01	1.93E-01	1.88E-01
P04046	1.20E-01	1.19E-01	1.28E-01
P02407	3.11E-01	2.95E-01	3.16E-01
Q03195	1.31E-01	1.05E-01	1.41E-01
P18544	1.30E-01	1.24E-01	1.39E-01
P07275	1.87E-01	2.13E-01	1.90E-01
P28274	6.86E-02	7.38E-02	6.60E-02
P38627	8.71E-03	4.01E-03	1.03E-02
P47143	1.48E-01	1.78E-01	1.60E-01
P04821	NaN	NaN	NaN
P27476	8.46E-02	9.13E-02	1.08E-01
P07560	4.89E-02	4.51E-02	6.02E-02
P01123	3.46E-02	2.92E-02	3.48E-02
Q99260	1.72E-02	NaN	1.32E-02
P09232	2.59E-01	2.79E-01	3.12E-01
P54861	1.61E-01	1.57E-01	1.37E-01
P16649	1.57E-01	1.69E-01	1.70E-01
Q08977	7.09E-02	9.04E-02	1.14E-01
P46672	1.69E-01	1.72E-01	1.79E-01
P21243	1.00E-01	1.18E-01	1.00E-01
Q04869	1.37E-01	1.54E-01	2.14E-01
P05453	1.26E-01	1.08E-01	1.39E-01
P15703	4.98E-01	5.32E-01	5.19E-01
P07283	1.40E-01	1.45E-01	1.43E-01
P12695	1.73E-01	1.76E-01	1.87E-01
P38715	1.12E-01	1.92E-01	1.33E-01
P32497	8.90E-02	6.72E-02	7.77E-02
P46654	4.56E-01	5.28E-01	4.42E-01
P39077	1.46E-01	1.36E-01	1.54E-01
P32377	1.01E-01	9.00E-02	1.07E-01
Q04947	1.95E-01	1.40E-01	2.06E-01
P43593	9.19E-02	8.11E-02	7.82E-02
P00445	1.86E-01	1.90E-01	2.19E-01
P32288	1.71E-01	1.51E-01	1.48E-01
P35844	8.56E-02	9.45E-02	8.12E-02
Q02821	1.45E-01	1.70E-01	1.52E-01
P38754	3.21E-02	3.39E-02	3.30E-02
P36105	2.87E-02	5.01E-02	7.54E-02
P40024	1.39E-01	1.57E-01	1.51E-01
P40215	1.14E-01	1.15E-01	1.37E-01
P04449	4.00E-02	4.97E-02	5.64E-02
P24000	8.21E-03	1.13E-02	1.66E-02
P38137	2.64E-01	2.27E-01	3.42E-01
P37302	3.27E-01	3.57E-01	3.43E-01
P27796	3.51E-01	3.55E-01	3.13E-01
P33297	8.44E-02	7.87E-02	8.01E-02
P33322	2.97E-01	3.63E-01	3.34E-01
P11076	0.040626891	5.32E-02	5.19E-02
P19146	2.60E-02	3.20E-02	3.66E-02
Q08412	9.66E-02	9.00E-02	1.23E-01
P07213	5.86E-02	6.96E-02	6.57E-02
Q08822	1.30E-01	9.33E-02	1.39E-01
P33303	1.53E-01	2.23E-01	1.86E-01
P15646	2.86E-01	3.04E-01	3.11E-01
P38701	2.36E-01	2.29E-01	2.67E-01
P40531	1.31E-01	1.44E-01	1.41E-01
P0C0W1	2.33E-01	2.50E-01	2.37E-01
P25349	1.46E-01	1.51E-01	1.63E-01
P32775	1.62E-01	1.44E-01	1.58E-01
P17555	9.15E-02	8.63E-02	9.89E-02
P36046	3.39E-02	3.69E-02	5.34E-02
Q02753	3.85E-02	4.52E-02	1.19E-01
Q12672	NaN	3.84E-03	5.39E-03
P41807	7.73E-02	5.71E-02	7.62E-02
P27614	1.34E-01	1.64E-01	1.81E-01
Q04491	8.53E-02	8.82E-02	8.10E-02
P40212	2.84E-01	2.32E-01	2.17E-01
Q03940	1.84E-01	1.59E-01	1.37E-01
P47079	1.41E-01	1.47E-01	1.50E-01
P38247	2.77E-02	2.62E-02	3.10E-02
P12683	2.51E-01	2.74E-01	3.16E-01
P52893	1.30E-01	1.20E-01	1.18E-01
Q01532	4.54E-01	4.51E-01	4.67E-01
P16550	4.60E-02	3.38E-02	3.87E-02
P24276	6.63E-02	5.99E-02	8.16E-02
P38631	1.48E-01	1.31E-01	1.47E-01
P40989	2.14E-02	1.31E-02	2.52E-02
P27616	1.47E-01	1.65E-01	1.44E-01
P09064	6.35E-02	4.33E-02	6.69E-02
P28777	1.30E-01	1.44E-01	1.34E-01
P07278	1.65E-01	1.48E-01	1.51E-01
Q03048	1.84E-01	2.13E-01	2.37E-01
Q12377	1.79E-01	1.81E-01	2.01E-01
