uniprotID_S288c	Standard _A	Standard _B	Standard _C
Q04304	NaN	2.17E-03	5.25E-03
Q08446	2.36E-02	2.59E-02	2.62E-02
P36517	NaN	NaN	NaN
Q03103	1.16E-02	2.06E-02	1.63E-02
P50946	NaN	NaN	2.70E-03
P38792	NaN	3.87E-03	4.69E-03
P39994	1.45E-02	1.03E-02	1.75E-02
P36051	6.28E-02	4.22E-02	4.09E-02
Q08162	NaN	NaN	NaN
P38768	3.03E-03	NaN	NaN
P39965	1.05E-02	6.72E-03	1.09E-02
P21182	NaN	NaN	NaN
P38629	5.73E-04	5.23E-04	4.74E-04
P32461	2.27E-02	2.00E-02	1.94E-02
P40169	3.61E-03	NaN	2.92E-03
Q03559	5.19E-02	3.44E-02	1.85E-02
P25586	NaN	NaN	2.36E-03
P32604	2.14E-02	1.69E-02	1.60E-02
P47075	6.41E-03	NaN	NaN
P34164	4.30E-02	5.66E-02	5.94E-02
P40348	8.31E-03	1.62E-02	1.46E-02
P36081	3.78E-03	NaN	4.32E-03
P38069	1.97E-02	2.16E-02	2.77E-02
P07347	3.09E-02	3.23E-02	2.71E-02
P35817	NaN	1.13E-02	2.13E-02
P32597	8.07E-02	7.23E-02	5.17E-02
P32319	6.24E-02	6.36E-02	6.19E-02
P53064	6.26E-02	5.99E-02	6.49E-02
Q05543	NaN	NaN	4.93E-03
Q3E776	NaN	NaN	2.29E-03
Q12314	3.46E-03	5.30E-03	3.66E-03
P38281	2.11E-02	2.02E-02	1.96E-02
P43556	NaN	NaN	5.92E-03
Q08421	NaN	NaN	NaN
Q04969	NaN	NaN	2.29E-03
P40548	2.09E-03	NaN	1.98E-03
P25040	NaN	5.38E-03	7.18E-03
Q12355	8.38E-03	7.78E-03	9.16E-03
P38882	2.47E-03	NaN	2.24E-03
P32317	6.47E-03	NaN	3.13E-03
P39993	NaN	NaN	NaN
Q08223	8.94E-03	1.19E-02	8.99E-03
P40066	9.56E-03	1.05E-02	1.24E-02
P39103	NaN	1.08E-03	NaN
Q03246	NaN	NaN	NaN
P47006	2.13E-02	1.91E-02	2.28E-02
P35996	4.61E-02	4.16E-02	3.79E-02
P38074	1.52E-02	1.91E-02	1.79E-02
Q02793	1.28E-01	1.25E-01	1.24E-01
Q08962	NaN	1.95E-02	6.48E-03
P40343	8.59E-03	7.03E-03	8.45E-03
P53741	NaN	NaN	NaN
Q02199	NaN	6.68E-03	6.29E-03
Q05933	9.40E-03	5.56E-01	1.03E-02
Q06146	2.28E-02	1.57E-02	1.76E-02
P40956	NaN	7.86E-03	1.75E-02
P53883	NaN	NaN	NaN
P53256	2.01E-02	2.98E-02	2.56E-02
P35178	NaN	NaN	4.95E-03
P39984	4.22E-03	4.10E-03	3.70E-03
P25371	NaN	NaN	NaN
P48445	NaN	NaN	4.07E-02
P14741	2.32E-02	2.59E-02	2.69E-02
Q07807	8.02E-02	5.44E-02	7.14E-02
P43561	1.14E-02	1.26E-02	1.69E-02
P38737	NaN	NaN	NaN
Q12406	NaN	NaN	1.95E-03
P53152	NaN	NaN	1.77E-03
P32911	NaN	NaN	NaN
P47133	NaN	NaN	4.47E-03
P21375	NaN	NaN	NaN
Q04080	NaN	NaN	NaN
Q06078	NaN	NaN	8.58E-03
P38930	1.21E-02	2.23E-02	1.02E-02
P16370	2.25E-01	2.55E-01	2.60E-01
P39969	NaN	NaN	1.76E-02
P34909	3.58E-02	2.30E-02	2.17E-02
P40011	7.06E-03	5.96E-03	9.05E-03
P32583	3.50E-02	4.08E-02	4.14E-02
P38068	NaN	NaN	3.68E-03
Q05946	1.28E-02	2.59E-02	2.34E-02
Q12292	NaN	NaN	3.76E-03
P13259	2.91E-02	3.17E-03	4.61E-02
P38089	6.67E-03	1.36E-02	1.25E-02
Q12306	1.89E-02	1.81E-02	1.95E-02
Q04081	NaN	NaN	2.11E-03
Q12133	2.73E-02	2.95E-02	2.75E-02
Q05775	6.00E-02	2.71E-02	3.90E-02
Q12404	1.15E-02	1.03E-02	9.17E-03
P37293	2.58E-02	3.23E-02	3.05E-02
P22203	1.12E-02	3.23E-02	0.011064878
Q12374	2.64E-02	1.92E-02	2.31E-02
Q08920	6.47E-03	3.83E-03	4.61E-03
P32799	2.54E-03	3.03E-03	1.74E-03
Q99325	2.50E-02	3.03E-02	2.37E-02
P52891	NaN	NaN	NaN
Q03774	1.22E-02	1.98E-02	2.24E-02
Q12331	6.40E-03	6.03E-03	7.51E-03
P53326	9.58E-03	7.66E-03	9.66E-03
P35180	NaN	NaN	NaN
P47141	1.16E-02	8.98E-03	1.00E-02
O13585	NaN	NaN	NaN
P32860	7.44E-02	9.16E-02	8.20E-02
P40335	NaN	8.93E-03	NaN
Q05871	8.18E-03	1.11E-02	8.08E-03
Q02486	1.89E-02	1.49E-02	1.12E-02
P38116	3.41E-03	1.98E-03	2.57E-03
P30665	NaN	NaN	7.65E-03
P38153	NaN	2.41E-03	NaN
P38993	NaN	NaN	4.57E-02
Q03790	9.31E-03	NaN	1.01E-02
Q12242	1.52E-01	1.51E-01	1.41E-01
P40056	7.27E-02	8.60E-02	9.57E-02
P32347	NaN	NaN	NaN
P28789	NaN	NaN	NaN
P38884	NaN	5.18E-03	3.18E-03
P31334	1.45E-02	1.40E-02	2.88E-02
Q08558	2.96E-03	NaN	3.46E-03
P36000	NaN	NaN	NaN
P34222	NaN	NaN	3.07E-03
P39008	7.35E-02	8.10E-02	7.35E-02
P32329	4.42E-02	2.92E-02	4.42E-02
P10622	4.72E-03	8.72E-03	9.21E-03
Q06505	9.45E-03	7.93E-03	8.53E-03
Q08409	7.02E-02	1.13E-01	8.61E-02
P38833	NaN	NaN	2.57E-03
P25617	3.56E-03	3.59E-03	2.95E-03
P22214	1.49E-02	1.17E-02	1.55E-02
Q06485	4.53E-03	NaN	4.77E-03
Q12283	3.59E-03	3.37E-03	4.72E-03
P53072	1.04E-02	6.88E-03	7.92E-03
P06101	NaN	NaN	NaN
P53173	1.56E-02	1.35E-02	1.59E-02
P13856	NaN	NaN	NaN
P32474	NaN	NaN	1.37E-03
Q03771	4.47E-03	NaN	3.69E-03
Q08959	1.59E-02	2.04E-02	1.12E-02
P40090	4.20E-03	NaN	NaN
P32657	2.42E-01	1.97E-01	1.54E-01
P32591	2.31E-02	NaN	NaN
Q07362	NaN	NaN	2.21E-03
P32561	NaN	NaN	NaN
Q08969	NaN	NaN	4.30E-03
P40157	4.48E-02	8.63E-02	7.77E-02
P38789	NaN	1.21E-02	1.11E-02
P25359	NaN	NaN	4.08E-03
P42935	2.24E-01	2.66E-01	2.81E-01
Q06449	NaN	NaN	2.64E-03
P37267	3.58E-03	4.49E-03	5.15E-03
P42936	4.26E-02	3.87E-02	3.87E-02
P40693	2.05E-02	NaN	2.41E-02
Q01519	NaN	NaN	2.08E-03
P53920	2.55E-02	2.25E-02	2.61E-02
Q02931	2.14E-02	2.40E-02	2.36E-02
P38797	NaN	5.18E-03	6.88E-03
Q03691	NaN	NaN	NaN
Q12412	NaN	NaN	NaN
P53877	NaN	1.07E-02	2.66E-02
P53254	3.58E-03	NaN	2.87E-03
Q05031	NaN	NaN	3.03E-03
P50108	4.10E-03	NaN	3.35E-03
P51601	1.27E-02	1.19E-02	1.19E-02
Q12025	5.58E-03	NaN	1.07E-03
P53629	7.05E-03	NaN	7.48E-03
P39525	1.74E-02	1.10E-02	2.00E-02
P38196	4.71E-03	7.19E-03	5.60E-03
Q03362	NaN	NaN	3.18E-03
P32783	2.85E-02	2.03E-02	2.17E-02
P39704	NaN	NaN	3.87E-03
Q06511	NaN	NaN	5.44E-03
P38203	NaN	2.24E-03	1.37E-03
P39932	NaN	NaN	NaN
P53040	3.12E-02	2.22E-02	2.25E-02
Q02457	1.16E-02	1.23E-02	1.50E-02
P36053	NaN	NaN	NaN
P30605	1.50E-02	1.92E-02	1.72E-02
Q03799	2.06E-02	1.92E-02	1.70E-02
Q05166	3.47E-02	1.68E-02	3.53E-02
Q03677	1.83E-02	1.93E-02	1.78E-02
Q06090	6.32E-03	NaN	2.06E-03
P53155	3.63E-02	3.41E-02	3.05E-02
P36036	4.16E-03	5.21E-03	1.20E-02
P32769	7.15E-02	5.45E-02	6.32E-02
P37263	NaN	4.81E-03	4.24E-03
P25618	6.89E-03	NaN	7.02E-03
P38288	NaN	NaN	6.24E-03
P46959	NaN	NaN	3.16E-03
P43591	NaN	NaN	NaN
P40347	NaN	4.28E-03	NaN
P39727	NaN	NaN	2.95E-03
Q12373	NaN	NaN	NaN
P05319	6.17E-02	5.91E-02	5.66E-02
P38615	7.27E-03	NaN	6.02E-03
P36040	4.89E-03	5.69E-03	4.55E-03
P52488	NaN	NaN	4.02E-03
P50086	2.53E-03	NaN	6.22E-03
P33331	8.34E-03	7.78E-03	6.55E-03
Q05518	1.28E-02	9.18E-03	8.47E-03
P53960	NaN	NaN	3.10E-03
P48360	3.27E-03	NaN	3.04E-03
Q08199	3.47E-03	2.56E-03	1.13E-02
P33753	NaN	NaN	NaN
P34761	NaN	NaN	3.93E-03
P38862	8.43E-02	1.33E-01	1.14E-01
Q06677	NaN	NaN	NaN
P40484	1.98E-03	NaN	1.58E-03
Q12082	4.18E-03	4.11E-03	4.23E-03
P45818	NaN	NaN	NaN
P25298	NaN	NaN	NaN
P38992	NaN	NaN	NaN
Q07648	NaN	NaN	NaN
P08018	1.96E-02	1.46E-02	1.41E-02
P40368	6.60E-03	9.28E-03	NaN
P40260	3.01E-02	3.08E-02	1.86E-02
P53157	NaN	NaN	3.49E-03
Q08986	NaN	NaN	NaN
Q99216	4.31E-02	4.97E-02	4.88E-02
Q12206	2.92E-02	2.63E-02	2.84E-02
Q8TGU7	NaN	NaN	3.63E-03
Q01454	8.26E-03	1.01E-02	1.55E-02
P25619	NaN	NaN	1.04E-02
P06197	2.25E-02	1.98E-02	2.25E-02
P34243	1.39E-02	1.80E-02	2.30E-02
P25382	2.62E-03	NaN	NaN
P18411	NaN	NaN	NaN
P39109	2.21E-02	3.17E-02	2.60E-02
P32459	2.46E-02	2.19E-02	3.28E-02
P23293	NaN	NaN	2.22E-03
P38690	NaN	NaN	NaN
P38352	8.18E-03	7.47E-03	7.90E-03
P34217	7.60E-03	1.16E-02	3.61E-02
P48240	2.51E-02	1.81E-02	1.96E-02
Q12328	2.56E-01	2.54E-01	2.41E-01
P32831	6.90E-03	9.23E-03	1.07E-02
P42847	NaN	NaN	2.48E-03
P39104	7.05E-03	8.32E-03	8.33E-03
P46992	NaN	NaN	NaN
P11792	2.14E-02	1.73E-02	1.51E-02
P40459	3.17E-02	2.26E-02	2.53E-02
P39543	NaN	NaN	3.11E-03
P52918	4.63E-01	4.05E-01	3.98E-01
P48582	NaN	NaN	2.56E-03
Q06839	5.23E-03	1.58E-02	8.04E-03
P15790	7.28E-02	7.10E-02	4.78E-02
P38127	NaN	NaN	3.28E-03
Q12453	6.60E-02	5.15E-02	5.87E-02
P40557	1.23E-02	1.40E-02	1.41E-02
P49167	NaN	NaN	1.46E-03
Q03280	3.82E-02	3.38E-02	2.28E-02
P38892	9.32E-02	8.01E-02	7.03E-02
Q03124	NaN	NaN	NaN
P38883	5.94E-03	NaN	3.52E-03
P13130	8.25E-03	9.10E-03	1.10E-02
P32900	5.81E-03	4.09E-03	3.26E-03
P53898	NaN	5.35E-03	NaN
P39742	3.26E-02	3.24E-02	3.09E-02
P40472	NaN	NaN	NaN
P40540	NaN	NaN	NaN
Q03010	NaN	NaN	NaN
P47103	1.23E-02	1.03E-02	2.09E-02
P35999	1.14E-02	1.90E-02	1.43E-02
P47150	2.65E-02	2.92E-02	3.14E-02
P40055	3.13E-03	NaN	NaN
P23503	NaN	NaN	2.24E-03
Q04934	NaN	NaN	3.64E-03
Q04119	2.66E-02	2.06E-02	2.06E-02
P29468	2.09E-02	2.29E-02	2.32E-02
P32452	NaN	NaN	2.71E-03
P53048	NaN	NaN	NaN
P23642	2.79E-02	3.73E-02	2.87E-02
P36973	3.00E-02	3.50E-02	3.24E-02
Q03529	NaN	NaN	NaN
P34248	NaN	NaN	6.60E-03
Q04212	1.89E-02	1.98E-02	2.23E-02
Q12320	1.44E-02	1.13E-02	1.64E-02
P18408	NaN	NaN	NaN
P46995	4.35E-03	3.34E-03	3.79E-03
P53272	NaN	NaN	NaN
P17064	9.54E-02	7.16E-02	8.38E-02
P40218	3.91E-03	1.25E-02	8.76E-03
Q12246	NaN	NaN	3.08E-03
P36151	NaN	NaN	3.85E-03
P46957	4.40E-03	NaN	3.06E-03
Q07897	NaN	NaN	NaN
Q06497	NaN	NaN	NaN
Q08925	NaN	NaN	6.10E-03
P32523	5.40E-03	NaN	7.35E-03
P53732	6.87E-03	8.07E-03	6.72E-03
Q12199	NaN	NaN	2.78E-03
P23369	6.99E-03	6.10E-03	5.32E-03
Q03020	1.05E-02	1.31E-02	8.95E-03
P53924	1.66E-02	1.08E-02	8.75E-03
P36141	NaN	NaN	7.14E-03
P36104	NaN	NaN	2.48E-03
Q12019	NaN	NaN	NaN
P38149	NaN	NaN	4.14E-03
Q08548	NaN	NaN	NaN
Q03674	5.08E-02	7.16E-02	6.95E-02
Q03497	2.26E-02	2.73E-02	2.32E-02
Q12339	NaN	NaN	2.09E-03
P53296	3.77E-02	4.20E-02	4.98E-02
P20676	NaN	NaN	NaN
P13185	7.85E-03	5.15E-03	5.44E-03
P38342	1.82E-02	3.67E-03	1.41E-02
P41819	5.25E-03	4.82E-03	5.00E-03
P19145	NaN	NaN	NaN
P25631	NaN	NaN	NaN
P13587	4.00E-03	3.13E-02	3.45E-02
P43577	NaN	NaN	4.30E-03
P40555	NaN	NaN	NaN
P53859	1.83E-02	1.34E-02	1.73E-02
P51998	2.19E-03	NaN	NaN
P47037	NaN	NaN	3.15E-03
P32857	NaN	NaN	1.57E-02
Q06107	1.58E-02	1.20E-02	1.78E-02
P33754	5.09E-03	2.67E-03	4.92E-03
P32794	NaN	NaN	NaN
P43587	NaN	NaN	6.69E-03
P69771	NaN	NaN	NaN
P36523	2.32E-03	NaN	1.44E-03
P46673	NaN	NaN	NaN
Q05521	NaN	NaN	NaN
Q05791	4.44E-03	NaN	2.69E-03
P40089	4.86E-04	4.24E-04	1.63E-03
Q08444	2.34E-02	2.29E-02	1.67E-02
Q02890	1.29E-02	1.01E-02	1.19E-02
Q03219	1.62E-02	2.26E-02	1.46E-02
P52871	NaN	NaN	9.38E-03
P25335	1.03E-02	1.06E-02	1.19E-02
P47158	6.33E-03	6.68E-03	6.68E-03
Q08746	5.21E-03	NaN	NaN
P41318	NaN	NaN	1.63E-03
Q08960	1.42E-02	NaN	1.53E-02
Q12446	NaN	NaN	NaN
P25654	NaN	NaN	2.15E-03
P37304	6.61E-02	4.61E-02	4.57E-02
P38856	NaN	NaN	3.29E-02
P38121	3.91E-02	NaN	3.26E-02
P14680	NaN	NaN	3.84E-03
Q99186	NaN	NaN	NaN
P53073	3.73E-03	3.15E-03	4.12E-03
P34087	2.95E-02	3.72E-02	4.04E-02
P42838	NaN	NaN	NaN
P47142	NaN	NaN	6.13E-03
P32908	6.82E-03	NaN	7.26E-03
Q06833	NaN	NaN	7.97E-03
P32462	NaN	NaN	4.35E-03
P24279	9.81E-03	7.88E-03	4.51E-03
Q07457	NaN	NaN	NaN
P38341	NaN	NaN	NaN
Q12156	NaN	NaN	3.70E-03
P38775	NaN	3.40E-02	NaN
Q02948	1.19E-02	1.23E-02	1.10E-02
P53909	1.59E-02	1.48E-02	1.63E-02
P42934	NaN	NaN	NaN
P43600	1.88E-02	9.85E-03	1.08E-02
P38129	5.01E-02	3.38E-02	3.43E-02
P53076	NaN	1.36E-02	1.21E-02
P38903	3.36E-02	2.93E-02	3.36E-02
P47124	NaN	NaN	3.02E-03
P25576	NaN	NaN	NaN
Q12270	3.84E-02	3.30E-02	4.84E-02
Q03833	NaN	NaN	NaN
Q07716	3.22E-02	2.75E-02	2.84E-02
P24583	NaN	NaN	1.01E-02
P25515	2.31E-02	1.63E-02	6.67E-02
P38887	NaN	NaN	NaN
P53121	NaN	NaN	4.20E-03
Q06689	NaN	NaN	NaN
P53323	4.88E-03	4.43E-03	3.53E-03
P39927	NaN	NaN	NaN
P12954	1.16E-02	NaN	NaN
P38712	NaN	NaN	NaN
P32500	2.98E-02	2.86E-02	2.76E-02
P48569	1.58E-02	1.56E-02	1.80E-02
P36165	4.86E-02	5.43E-02	3.51E-02
P40052	NaN	NaN	NaN
P32864	NaN	NaN	5.51E-03
P48813	1.71E-02	1.23E-02	6.20E-03
Q06169	4.23E-03	5.64E-03	6.48E-03
P38156	NaN	NaN	NaN
P34077	2.17E-01	1.85E-01	1.88E-01
P39006	NaN	NaN	8.32E-03
P53125	5.77E-03	3.80E-03	6.02E-03
P25632	3.38E-02	3.18E-02	2.61E-02
P32909	1.65E-02	1.57E-02	1.24E-02
Q06506	NaN	2.52E-02	2.67E-02
Q07688	8.49E-03	1.60E-02	1.35E-02
P34219	NaN	NaN	NaN
P46982	5.77E-02	6.50E-02	6.51E-02
P40064	1.79E-02	2.04E-02	1.94E-02
Q06608	1.04E-02	NaN	3.85E-03
P11746	NaN	1.35E-02	1.15E-02
Q04806	NaN	NaN	4.16E-03
Q02887	NaN	NaN	2.20E-03
P53066	3.81E-02	6.40E-02	7.19E-02
P14682	NaN	NaN	NaN
P38080	4.14E-03	5.51E-03	NaN
P48234	NaN	NaN	NaN
P08425	NaN	NaN	4.35E-03
P38869	NaN	NaN	NaN
P36525	5.68E-03	4.75E-03	5.77E-03
Q03266	NaN	NaN	NaN
P46682	NaN	NaN	NaN
P22434	NaN	7.56E-03	1.15E-02
P53729	3.95E-03	NaN	NaN
P40207	NaN	NaN	2.02E-03
P38523	NaN	NaN	NaN
P53829	5.76E-03	7.82E-03	7.41E-03
P38902	3.89E-03	5.39E-03	3.79E-03
P25560	3.54E-02	2.04E-02	2.36E-02
P32487	NaN	NaN	NaN
P32388	1.37E-02	9.98E-03	1.08E-02
P38719	1.39E-02	8.38E-03	1.12E-02
Q12296	NaN	NaN	2.67E-03
Q12387	1.01E-02	NaN	8.45E-03
Q03533	1.57E-02	1.08E-02	1.80E-02
P33302	4.30E-03	NaN	5.45E-03
Q02784	1.46E-02	1.21E-02	1.48E-02
P21825	3.17E-02	3.67E-02	2.35E-02
P29703	NaN	NaN	NaN
P53177	NaN	NaN	NaN
P36090	NaN	NaN	NaN
P53322	3.51E-02	3.02E-02	3.04E-02
P53290	1.26E-02	NaN	NaN
P38112	NaN	NaN	NaN
P40959	3.93E-02	3.13E-02	3.28E-02
P25296	NaN	NaN	NaN
P06100	3.89E-02	4.25E-02	3.18E-02
P32349	6.20E-03	1.25E-02	9.10E-03
Q03778	NaN	NaN	1.48E-03
Q92325	2.65E-02	3.22E-02	1.69E-02
P40481	NaN	NaN	NaN
P23797	1.74E-02	1.81E-02	2.06E-02
Q05636	NaN	NaN	NaN
P53258	NaN	2.23E-03	NaN
Q02771	NaN	NaN	NaN
P14772	NaN	NaN	NaN
P06182	8.36E-03	6.65E-03	5.90E-03
Q08245	3.03E-02	4.83E-02	3.99E-02
Q06683	1.39E-02	1.20E-02	1.36E-02
P53329	5.22E-02	5.32E-02	5.16E-02
Q9P305	2.91E-02	2.62E-02	3.09E-02
P40545	NaN	5.76E-03	4.88E-03
Q12427	NaN	NaN	1.46E-02
P33310	1.45E-02	9.65E-03	5.23E-03
Q12108	9.26E-02	1.08E-01	5.90E-02
Q99312	4.06E-02	4.09E-02	3.72E-02
P47173	1.68E-02	1.56E-02	2.33E-02
Q08217	2.59E-02	2.39E-02	1.94E-02
P40357	1.21E-02	1.07E-02	1.19E-02
P07834	6.30E-03	7.20E-03	1.66E-02
P28239	NaN	NaN	NaN
P53139	5.26E-02	4.17E-02	4.30E-02
P40535	NaN	NaN	3.65E-03
P40344	1.56E-02	1.59E-02	1.70E-02
P33301	6.53E-02	5.95E-02	5.96E-02
P35201	NaN	NaN	NaN
P40168	9.97E-02	9.40E-02	9.29E-02
P42937	6.47E-03	4.66E-03	2.86E-03
P38266	1.38E-02	9.67E-03	1.04E-02
P40078	1.73E-02	2.90E-02	2.60E-02
P36135	NaN	1.23E-02	NaN
Q00582	2.32E-02	2.03E-02	2.89E-02
P26793	2.13E-02	1.76E-02	1.57E-02
Q07655	2.95E-02	2.44E-02	2.21E-02
P23285	NaN	NaN	1.22E-02
P32617	9.92E-03	1.59E-02	1.53E-02
P25332	4.80E-03	5.13E-03	4.50E-03
P38805	8.71E-03	9.69E-03	9.76E-03
Q02795	NaN	NaN	NaN
P33311	NaN	NaN	NaN
P53264	NaN	NaN	8.33E-03
P32328	NaN	NaN	NaN
P47064	2.28E-02	2.96E-02	2.65E-02
Q12486	NaN	NaN	1.84E-02
P43132	1.24E-02	1.02E-02	3.87E-03
Q03305	NaN	1.46E-02	NaN
P53969	4.33E-03	NaN	NaN
P47025	NaN	NaN	NaN
Q08023	9.54E-02	1.17E-01	1.09E-01
P53848	2.23E-01	2.22E-01	2.29E-01
P25358	2.70E-02	2.47E-02	3.06E-02
P40046	NaN	NaN	3.35E-03
P53894	1.95E-02	1.45E-02	1.51E-02
Q03735	3.25E-02	6.63E-03	2.90E-02
Q12291	NaN	NaN	4.12E-03
Q12396	4.37E-02	4.35E-02	4.05E-02
P39960	1.68E-02	1.56E-02	1.20E-02
P11433	NaN	NaN	2.37E-03
P47164	1.44E-02	2.89E-02	2.81E-02
P32862	6.44E-03	5.45E-03	4.80E-03
P38635	NaN	NaN	3.21E-03
P36024	NaN	NaN	1.34E-02
P04039	5.14E-02	5.74E-02	5.78E-02
P40081	1.74E-02	1.90E-02	9.51E-03
P31109	9.91E-03	1.70E-02	2.03E-02
Q12178	4.25E-02	4.25E-02	4.22E-02
Q12481	8.53E-03	3.94E-03	7.80E-03
P32798	5.83E-02	8.23E-02	6.93E-02
P32048	4.17E-03	3.94E-03	3.01E-03
P43638	NaN	NaN	NaN
Q03786	NaN	NaN	2.24E-03
P33417	NaN	7.67E-03	7.46E-03
P53309	1.82E-01	1.89E-01	2.21E-01
Q3E846	NaN	NaN	NaN
P34251	3.21E-03	3.80E-03	3.49E-03
P38172	1.21E-02	1.29E-02	1.37E-02
P19516	NaN	6.60E-03	3.81E-03
P38072	NaN	NaN	NaN
P38698	NaN	NaN	2.77E-03
P25365	NaN	NaN	NaN
Q12276	NaN	NaN	NaN
Q02770	1.97E-02	2.01E-02	2.25E-02
P52593	2.21E-02	1.59E-02	2.21E-02
P36149	3.58E-03	NaN	3.14E-03
P36076	NaN	NaN	1.86E-03
P47107	7.82E-02	8.42E-02	1.40E-01
Q02805	NaN	NaN	NaN
P34163	7.24E-02	6.68E-02	6.68E-02
Q06479	5.87E-03	NaN	NaN
P18851	NaN	NaN	NaN
Q99189	NaN	NaN	3.24E-03
P45976	NaN	NaN	7.91E-03
Q04344	NaN	NaN	NaN
P27809	NaN	NaN	3.23E-03
P39013	NaN	NaN	NaN
P40499	NaN	3.77E-03	4.21E-03
P53378	3.55E-02	6.21E-02	6.00E-02
P37838	3.05E-03	NaN	NaN
P05318	NaN	8.37E-04	NaN
P38961	NaN	NaN	2.57E-03
P40579	NaN	NaN	NaN
P40002	6.18E-03	1.09E-02	9.21E-03
