uniprot	level
P49687	3.82E-07
Q06685	4.14E-07
0	4.27E-06
P40040	8.03E-07
P53315	2.61E-06
P33755	8.26E-08
P05375	1.49E-07
Q12532	4.32E-08
P14747	2.88E-07
Q04432	5.37E-07
P10507	9.64E-07
P38169	1.23E-06
P40087	3.23E-07
P50109	8.66E-07
P38234	3.87E-07
P43558	9.24E-07
P32902	3.41E-07
P16451	#DIV/0!
P38809	6.41E-07
Q03640	8.14E-08
Q05584	1.32E-06
P40485	1.39E-06
P35719	0.000000639
Q07825	6.60E-07
P40202	0.000000178
(P0CX28-P0CX27)	9.31E-06
Q01855	1.93E-06
P19524	1.58E-07
P47154	1.11E-06
P11938	5.34E-07
P34231	1.45E-06
P33317	6.89E-07
P11075	4.94E-07
P07273	2.21E-07
P06782	2.88E-07
P14164	2.66E-07
P61830	8.76E-06
P35723	3.81E-06
Q2V2P9	2.87E-06
P36147	3.54E-07
Q07589	3.53E-07
P37298	1.11E-06
P36016	5.89E-07
P32915	8.18E-07
P23595	4.62E-07
P38986	1.05E-06
P89886	1.46E-06
Q12525	4.68E-07
P25037	9.53E-07
P37303	4.13E-07
P25045	3.06E-07
P09032	4.26E-08
P36519	1.05E-06
P25369	3.27E-07
P32342	3.30E-06
P43555	7.76E-07
Q12515	1.09E-06
P40580	1.01E-06
P17891	9.07E-07
Q12452	9.86E-07
P38716	9.20E-07
P06102	3.63E-07
P38929	6.06E-07
P80428	1.78E-06
P28273	1.03E-07
P47119	1.48E-06
P53221	2.79E-06
P25340	1.45E-06
P20435	9.75E-07
P38820	6.21E-07
P33333	4.22E-07
P23202	1.43E-06
Q06679	2.93E-06
Q07381	1.26E-07
O13547	4.21E-07
P28625	4.94E-07
P22213	4.33E-07
Q03629	4.255E-07
P51402	1.81E-06
P36516	3.98E-06
P32916	5.88E-07
P21147	7.41E-08
P38217	3.88E-07
P28321	5.31E-07
P43609	4.76E-07
P53889	4.84E-07
Q01477	1.96E-07
P39721	1.02E-06
Q12298	1.56E-06
P53617	1.20E-07
Q08601	2.91E-07
P32904	3.82E-07
P53206	1.58E-06
Q06697	2.57E-07
P00546	3.69E-07
P17157	6.28E-08
Q12000	6.38E-07
P32477	2.23E-07
P41895	0.000000204
P32643	6.95E-07
P47122	3.80E-07
Q12451	1.18E-07
0	4.55E-06
Q12211	5.64E-07
P40032	3.87E-07
P54837	5.79E-07
Q12028	1.33E-07
Q12018	1.14E-07
P53220	2.10E-07
Q99297	7.54E-07
Q02875	1.13E-06
P42846	3.73E-07
Q96VH5	2.11E-06
P38758	1.84E-07
Q01080	9.90E-07
P28272	7.74E-07
P40563	1.89E-07
Q12024	8.92E-07
P54003	3.96E-07
P38174	4.42E-07
P50861	1.36E-06
P27466	9.69E-07
P21538	1.1835E-07
P37370	5.20E-07
P15565	1.42E-07
Q05812	1.87E-07
P38688	1.19E-06
P38779	1.09E-06
P53914	1.85E-07
P08456	2.19E-07
P32502	4.43E-07
Q06336	4.31E-07
Q07651	3.04E-06
Q03430	7.39E-07
P53925	1.98E-07
P40319	1.70E-07
0	5.92E-06
P38197	7.60E-07
P39107	2.52E-06
Q01976	7.99E-07
P38732	4.46E-08
P47089	3.10E-07
P07255	4.33E-06
Q12514	8.75E-08
P32566	1.21E-06
P40043	9.33E-07
P00812	8.87E-07
Q04792	1.53E-07
P30657	0.000000269
P30771	1.45E-07
P32331	9.19E-07
Q04599	7.11E-07
P32501	1.22E-06
Q86ZR7	6.43E-07
Q04430	1.56E-07
P23833	3.36E-07
P29478	7.23E-08
Q03655	0.000000062
P47818	3.99E-07
Q02933	4.06E-07
Q02785	2.55E-07
P38323	1.34E-06
P06633	7.27E-07
P53311	4.16E-07
P32939	1.30E-06
P40086	1.78E-07
P40188	2.46E-06
Q12405	2.48E-06
P06245	1.25E-06
P06244	5.84E-07
P36101	5.85E-07
P33204	2.245E-07
P40970	9.83E-08
P40509	4.57E-07
P38439	5.05E-08
P36150	1.17E-07
P38777	#DIV/0!
Q99369	9.44E-07
Q00816	9.14E-08
P20051	1.15E-06
P40341	3.42E-08
P39925	1.31E-07
P46151	6.07E-07
P46669	4.36E-07
P53200	2.96E-06
P42842	2.35E-07
P53551	1.14E-06
P06785	1.40E-07
Q99288	4.06E-07
P38254	3.06E-07
Q06706	3.68E-08
P54730	1.18E-06
P20049	2.35E-07
0	2.76E-06
Q12746	1.88E-07
Q05778	3.14E-07
Q03798	3.92E-07
Q08438	3.22E-07
P09201	5.29E-07
P48527	8.80E-07
Q03713	3.41E-07
P53045	2.71E-07
P20436	4.365E-07
P53164	0.000000346
P12686	5.94E-07
P53145	1.60E-08
P43585	6.18E-08
Q02630	2.06E-07
P53261	7.65E-07
Q04767	3.12E-07
P32892	1.00E-06
P40561	7.24E-07
P27810	2.77E-07
P39744	5.30E-07
Q3E7X9	8.22E-06
Q12044	0.000000198
Q05788	9.43E-07
P12754	3.47E-07
Q12289	7.75E-07
P04161	2.36E-07
Q12176	1.99E-07
0	7.00E-07
P38166	1.84E-06
P32472	5.19E-07
P46989	3.17E-07
P32875	8.93E-08
P25555	8.88E-08
P32564	9.15E-07
Q3E756	7.16E-07
Q06385	4.31E-06
P53140	1.12E-07
P32611	6.91E-07
P53927	6.47E-07
Q05948	2.06E-07
P25574	7.88E-07
P38286	0.000000199
P13586	2.48E-07
P38333	2.12E-07
P15731	#DIV/0!
P15732	0.000000345
P47045	1.48E-07
P40160	3.56E-07
P47116	2.47E-08
P16622	1.17E-06
P53301	3.68E-07
Q06493	1.27E-06
P05745	2.05E-06
P40312	6.53E-06
P47008	1.26E-06
P36521	5.59E-06
P40553	5.90E-07
O13563	2.55E-07
P40452	4.40E-07
Q03705	0.000000288
Q06178	2.95E-08
P53204	#DIV/0!
P24521	1.48E-07
P20604	2.15E-07
P42941	6.94E-07
Q03088	8.65E-08
P38623	8.46E-08
P43569	2.09667E-07
P43639	1.81E-07
O13297	9.36E-07
P53332	1.87E-07
P32629	0.000000279
P43619	1.60E-06
Q05931	1.41E-07
Q06053	5.88E-08
P53868	1.13E-07
P32621	7.11E-08
P35179	6.84E-06
P38875	3.805E-07
P07258	4.59E-07
P36160	5.57E-07
Q04305	8.92E-08
P27929	0.000000112
P25626	1.26E-06
P30619	3.74E-07
P48439	0.000000533
Q02642	4.88E-07
P25367	3.41E-07
P32387	1.24E-07
P38985	6.81E-07
P40515	0.000000107
P38349	4.59E-07
P32486	0.000000085
P38804	7.50E-07
Q12008	#DIV/0!
P89105	0.000000116
P42942	2.87E-07
Q05123	4.06E-07
P38910	4.83E-07
P46985	6.35E-07
P53008	8.23E-08
Q06678	3.27E-07
P00127	0.000000333
P40517	2.41E-07
P22579	1.28E-07
Q06630	2.60E-07
P42826	5.55E-07
Q08645	1.33E-06
Q12125	2.92E-07
P32386	5.45E-08
P38874	9.78E-07
P36059	3.20E-07
P53600	2.775E-07
P47031	3.82E-08
P47125	#DIV/0!
Q02629	7.91E-08
Q12164	1.27E-06
P53881	0.000000069
Q12402	9.03E-06
P53550	8.28E-07
Q03148	6.17E-07
0	#DIV/0!
P53337	5.27E-07
Q04373	4.96E-07
P52490	1.11E-05
Q99385	#DIV/0!
A5Z2X5	5.19E-06
P08466	3.39E-07
P46965	0.000000199
P32447	1.72E-07
P37254	8.58E-08
Q12251	7.39E-08
P33307	5.62E-08
P53130	2.13E-07
P40073	2.40E-07
P46971	6.05E-08
P40433	1.22E-07
P38736	1.01E-06
P43586	1.39E-06
P38167	8.35E-07
P50087	1.85E-07
P53131	2.97E-07
Q08202	2.19E-07
P25655	7.81E-07
P32451	5.09E-07
P26755	2.17E-07
P19955	3.89E-07
P18962	1.56E-07
P12904	7.60E-07
P08539	3.89E-07
P46956	6.74E-08
P39685	4.17E-07
P41543	0.000000097
0	#DIV/0!
Q99190	0.00000017
Q03761	2.24E-07
P33759	2.82E-06
Q04279	2.66E-07
Q06252	2.31E-07
P08465	2.81E-07
P25573	#DIV/0!
P32610	1.40E-06
P43535	2.48E-07
0	9.23E-07
P39705	1.03E-07
P04911	1.05E-06
Q12692	2.86E-06
P43612	3.29E-07
P28319	5.22E-07
Q12359	2.24E-06
P22517	6.31E-07
Q92331	0.000000113
P41814	9.98E-08
P53946	5.855E-08
P47047	7.25E-08
P54860	3.49E-07
P46964	3.40E-07
Q07938	1.58E-07
P38759	1.62E-07
P38885	#DIV/0!
P37299	1.35E-06
Q03976	3.07E-07
Q03579	2.20E-06
P25348	1.58E-05
Q06143	1.76E-07
P40523	2.59E-07
Q02959	8.84E-07
Q03769	3.31E-07
Q01159	4.11E-07
Q99316	#DIV/0!
Q12012	5.42E-07
Q06010	9.09E-08
Q08647	#DIV/0!
P32802	4.24E-07
P38144	4.09E-07
P36088	2.77E-07
P32266	7.55E-08
P38822	3.09E-08
Q08285	#DIV/0!
P47123	#DIV/0!
Q06089	0.000000347
P29029	2.80E-07
P40533	1.85E-07
Q12743	1.59E-07
Q12009	1.35E-06
P25372	5.58E-07
Q12389	1.75E-07
Q12754	3.26E-07
Q08096	9.65E-07
P39998	8.59E-08
Q06137	2.55E-07
P53224	8.62E-07
P40564	1.35E-06
P52286	2.09E-07
P20107	#DIV/0!
P35845	8.42E-08
P25303	#DIV/0!
P31384	4.07E-07
P53875	#DIV/0!
P32453	1.97E-07
Q06168	1.13E-07
Q07914	0.000000277
P38604	6.36E-08
P35184	0.000000091
P53100	8.08E-08
P10962	7.56E-07
Q12341	5.07E-07
Q06705	4.20E-07
P38120	9.725E-08
P38109	1.78E-07
P48016	#DIV/0!
P47001	4.39E-06
P47148	4.49E-06
Q07915	3.18E-07
Q12034	1.38E-07
P53860	4.55E-07
P38853	1.41E-07
Q02908	9.99E-07
P33309	4.62E-08
Q04304	1.491E-07
Q08446	5.63E-07
P36517	#DIV/0!
Q03103	2.49E-07
P50946	9.94E-08
P38792	1.0855E-07
P39994	2.30E-07
P36051	4.60E-07
Q08162	#DIV/0!
P38768	7.67E-08
P39965	1.43E-07
P21182	#DIV/0!
P38629	1.37E-08
P32461	3.46E-07
P40169	9.59E-08
Q03559	1.57E-06
P25586	6.35E-08
P32604	3.44E-07
P47075	7.71E-08
P34164	1.14E-06
P40348	3.28E-07
P36081	8.81E-08
P38069	3.39E-07
P07347	1.09E-06
P35817	0.000000212
P32597	4.35E-07
0	#DIV/0!
P32319	3.52E-07
P53064	9.48E-07
Q05543	0.000000106
Q3E776	0.000000167
Q12314	1.67E-07
P38281	5.68E-07
P43556	0.000000072
Q08421	#DIV/0!
Q04969	0.00000011
P40548	1.11E-07
P25040	1.365E-07
Q12355	1.84E-07
P38882	3.61E-08
P32317	8.24E-08
P39993	#DIV/0!
Q08223	2.17E-07
P40066	2.67E-07
P39103	0.000000136
Q03246	#DIV/0!
P47006	7.83E-07
P35996	2.81E-06
P38074	4.38E-07
Q02793	2.84E-06
Q08962	0.000000637
P40343	1.13E-07
P53741	#DIV/0!
Q02199	0.000000132
Q05933	9.32E-06
Q06146	5.19E-07
P40956	0.000000285
P53883	#DIV/0!
P53256	1.03E-06
P35178	0.000000149
P39984	8.89E-08
P25371	#DIV/0!
P48445	0.000000533
P14741	7.45E-07
Q07807	7.00E-07
P43561	1.92E-07
P38737	#DIV/0!
Q12406	3.62E-08
P53152	0.000000114
P32911	#DIV/0!
P47133	0.000000132
P21375	#DIV/0!
Q04080	#DIV/0!
Q06078	8.19E-08
P38930	4.98E-07
P16370	6.99E-06
P39969	0.000000152
P34909	4.11E-07
P40011	2.88E-07
P32583	9.53E-07
P38068	0.000000163
Q05946	2.28E-07
Q12292	8.05E-08
P13259	5.29E-07
P38089	2.48E-07
Q12306	1.62E-06
Q04081	5.61E-08
Q12133	1.32E-06
Q05775	1.42E-06
Q12404	2.84E-07
P37293	9.00E-07
P22203	6.87E-07
Q12374	3.23E-07
Q08920	2.09E-07
0	0.000000107
P32799	1.62E-07
Q99325	8.87E-07
P52891	#DIV/0!
Q03774	3.59E-07
Q12331	2.17E-07
P53326	1.10E-07
P35180	#DIV/0!
P47141	3.37E-07
O13585	#DIV/0!
P32860	2.83E-06
P40335	0.00000021
Q05871	2.87E-07
Q02486	6.95E-07
P38116	1.30E-07
P30665	7.29E-08
P38153	4.39E-08
P38993	0.000000631
Q03790	1.84E-07
Q12242	1.96E-06
P40056	2.69E-06
P32347	#DIV/0!
P28789	#DIV/0!
P38884	1.146E-07
P31334	6.41E-07
Q08558	1.07E-07
P36000	#DIV/0!
P34222	0.000000137
P39008	1.53E-06
P32329	6.53E-07
P10622	7.07E-07
Q06505	1.87E-07
Q08409	5.69E-07
P38833	9.49E-08
P25617	1.00E-07
P22214	5.60E-07
Q06485	2.28E-07
Q12283	9.57E-08
P53072	2.50E-07
P06101	#DIV/0!
P53173	9.41E-07
P13856	#DIV/0!
P32474	2.33E-08
Q03771	9.50E-08
Q08959	4.27E-07
P40090	5.82E-08
P32657	1.17E-06
P32591	2.49E-07
Q07362	0.000000111
P32561	#DIV/0!
Q08969	0.000000226
P40157	7.83E-07
P38789	0.000000224
0	#DIV/0!
0	4.02E-07
P25359	9.26E-08
P42935	2.87E-06
Q06449	0.000000112
P37267	2.51E-07
P42936	1.52E-06
P40693	6.09E-07
Q01519	0.000000212
P53920	2.23E-07
Q02931	2.27E-07
P38797	1.595E-07
Q03691	#DIV/0!
Q12412	#DIV/0!
P53877	0.000000302
P53254	2.30E-08
Q05031	5.99E-08
P50108	7.96E-08
P51601	4.38E-07
Q12025	1.46E-07
P53629	9.82E-08
P39525	3.39E-07
P38196	8.08E-08
Q03362	0.000000126
P32783	4.67E-07
P39704	0.000000161
Q06511	0.000000193
P38203	0.000000162
P39932	#DIV/0!
P53040	4.37E-07
Q02457	2.06E-07
P36053	#DIV/0!
P30605	2.69E-07
Q03799	1.09E-06
Q05166	4.92E-07
Q03677	8.85E-07
Q06090	2.60E-07
P53155	7.77E-07
P36036	3.00E-07
P32769	9.17E-07
P37263	0.000000255
P25618	6.45E-08
0	1.30E-06
P38288	0.00000013
P46959	0.000000072
P43591	#DIV/0!
P40347	0.000000229
P39727	6.39E-08
Q12373	#DIV/0!
P05319	5.50E-06
P38615	1.55E-07
P36040	1.64E-07
P52488	5.64E-08
P50086	1.71E-07
P33331	5.23E-07
Q05518	1.84E-07
P53960	6.08E-08
P48360	5.61E-08
Q08199	1.20E-07
P33753	#DIV/0!
P34761	5.52E-08
P38862	1.55E-06
Q06677	#DIV/0!
P40484	4.95E-08
Q12082	3.08E-07
P45818	#DIV/0!
P25298	#DIV/0!
P38992	#DIV/0!
Q07648	#DIV/0!
P08018	2.22E-07
P40368	9.67E-08
P40260	4.89E-07
P53157	0.000000233
Q08986	#DIV/0!
Q99216	1.56E-06
Q12206	5.39E-07
Q8TGU7	0.000000468
Q01454	1.08E-07
P25619	0.000000282
P06197	8.71E-07
P34243	2.34E-07
P25382	4.59E-08
P18411	#DIV/0!
P39109	1.55E-07
P32459	1.22E-06
P23293	2.99E-08
P38690	#DIV/0!
P38352	1.11E-07
P34217	2.50E-07
P48240	7.59E-07
Q12328	1.14E-05
P32831	1.19E-07
P42847	0.000000101
P39104	6.59E-08
P46992	#DIV/0!
P11792	1.95E-07
P40459	7.57E-07
P39543	0.000000117
P52918	2.97E-06
P48582	2.63E-08
Q06839	7.86E-08
P15790	1.43E-06
P38127	0.000000078
Q12453	6.93E-07
P40557	1.66E-07
P49167	0.000000165
Q03280	8.44E-08
P38892	2.40E-06
Q03124	#DIV/0!
P38883	5.46E-08
P13130	2.76E-07
P32900	5.36E-08
P53898	0.000000159
P39742	1.48E-06
P40472	#DIV/0!
P40540	#DIV/0!
Q03010	#DIV/0!
P47103	3.22E-07
P35999	1.69E-07
P47150	1.04E-06
P40055	5.03E-08
P23503	4.14E-08
Q04934	7.28E-08
Q04119	2.89E-07
P29468	3.46E-07
P32452	7.08E-08
0	4.88E-07
P53048	#DIV/0!
P23642	5.12E-07
P36973	1.62E-06
Q03529	#DIV/0!
P34248	9.77E-08
Q04212	5.31E-07
Q12320	4.34E-07
P18408	#DIV/0!
P46995	4.53E-08
P53272	#DIV/0!
P17064	1.44E-06
P40218	3.23E-07
Q12246	4.42E-08
P36151	9.77E-08
P46957	6.75E-08
Q07897	#DIV/0!
0	#DIV/0!
Q06497	#DIV/0!
Q08925	8.89E-08
P32523	1.13E-07
P53732	4.27E-07
Q12199	6.78E-08
P23369	3.30E-07
Q03020	6.07E-07
P53924	2.09E-07
0	#DIV/0!
P36141	0.000000456
P36104	6.67E-08
Q12019	#DIV/0!
P38149	4.22E-08
Q08548	#DIV/0!
Q03674	8.48E-07
Q03497	2.38E-07
Q12339	7.25E-08
P53296	6.98E-07
P20676	#DIV/0!
P13185	5.12E-08
P38342	3.34E-07
P41819	1.40E-07
P19145	#DIV/0!
P25631	#DIV/0!
P13587	1.93E-07
P43577	0.000000237
P40555	#DIV/0!
P53859	5.16E-07
P51998	6.85E-08
P47037	2.23E-08
P32857	0.000000261
Q06107	4.14E-07
P33754	1.74E-07
P32794	#DIV/0!
P43587	0.000000368
P69771	#DIV/0!
P36523	6.69E-08
P46673	#DIV/0!
Q05521	#DIV/0!
Q05791	8.51E-08
P40089	8.11E-08
Q08444	4.06E-07
0	3.06E-07
Q02890	2.74E-07
Q03219	5.72E-07
P52871	0.000000976
P25335	2.82E-07
P47158	1.15E-07
Q08746	2.27E-07
P41318	0.000000048
Q08960	1.64E-07
Q12446	#DIV/0!
P25654	0.000000104
P37304	5.67E-07
P38856	0.000000459
0	4.81E-08
P38121	4.55E-07
P14680	4.21E-08
Q99186	#DIV/0!
P53073	1.71E-07
P34087	1.87E-06
P42838	#DIV/0!
P47142	0.00000026
P32908	4.99E-08
Q06833	9.13E-08
P32462	8.59E-08
P24279	6.88E-08
Q07457	#DIV/0!
P38341	#DIV/0!
Q12156	0.000000216
P38775	0.000000542
Q02948	1.86E-07
P53909	3.95E-07
P42934	#DIV/0!
P43600	5.11E-07
P38129	4.43E-07
P53076	0.000000119
P38903	3.77E-07
P47124	6.53E-08
P25576	#DIV/0!
Q12270	1.35E-06
Q03833	#DIV/0!
Q07716	6.62E-07
P24583	7.65E-08
P25515	2.16E-06
P38887	#DIV/0!
P53121	4.63E-08
Q06689	#DIV/0!
P53323	1.43E-07
P39927	#DIV/0!
P12954	8.60E-08
P38712	#DIV/0!
P32500	3.87E-07
P48569	4.44E-07
P36165	4.48E-07
P40052	#DIV/0!
P32864	8.18E-08
P48813	1.61E-07
Q06169	9.17E-08
P38156	#DIV/0!
P34077	2.04E-06
P39006	0.000000147
P53125	3.57E-08
P25632	5.64E-07
P32909	1.83E-07
Q06506	3.985E-07
Q07688	6.60E-07
P34219	#DIV/0!
P46982	9.31E-07
P40064	1.23E-07
Q06608	3.17E-07
P11746	3.815E-07
Q04806	9.82E-08
Q02887	3.99E-08
P53066	2.89E-06
P14682	#DIV/0!
P38080	3.89E-08
P48234	#DIV/0!
P08425	7.94E-08
P38869	#DIV/0!
P36525	1.80E-07
Q03266	#DIV/0!
P46682	#DIV/0!
P22434	2.265E-07
P53729	8.21E-08
P40207	7.23E-08
P38523	#DIV/0!
P53829	1.70E-07
P38902	3.20E-07
P25560	1.19E-06
P32487	#DIV/0!
P32388	7.19E-07
P38719	2.33E-07
Q12296	3.44E-08
Q12387	1.00E-07
Q03533	2.24E-07
P33302	2.86E-08
Q02784	8.17E-07
P21825	9.77E-07
P29703	#DIV/0!
P53177	#DIV/0!
P36090	#DIV/0!
P53322	5.31E-07
P53290	3.26E-07
P38112	#DIV/0!
P40959	5.78E-07
P25296	#DIV/0!
P06100	1.69E-06
P32349	1.25E-07
Q03778	6.04E-08
Q92325	3.33E-07
P40481	#DIV/0!
P23797	5.28E-07
Q05636	#DIV/0!
0	1.36E-06
P53258	2.04E-08
Q02771	#DIV/0!
P14772	#DIV/0!
P06182	2.32E-07
Q08245	3.14E-06
Q06683	1.68E-07
P53329	2.62E-06
Q9P305	2.00E-06
P40545	0.00000018
Q12427	0.00000026
P33310	1.29E-07
Q12108	1.35E-06
Q99312	7.71E-07
P47173	4.68E-07
Q08217	1.85E-07
P40357	1.57E-07
P07834	1.17E-07
P28239	#DIV/0!
P53139	2.85E-06
P40535	5.59E-08
P40344	4.51E-07
P33301	6.38E-07
P35201	#DIV/0!
P40168	3.37E-06
P42937	2.70E-07
P38266	1.09E-07
P40078	8.11E-07
P36135	0.000000333
Q00582	6.73E-07
P26793	4.20E-07
Q07655	3.58E-07
P23285	0.000000538
P32617	7.40E-07
P25332	1.30E-07
P38805	2.67E-07
Q02795	#DIV/0!
P33311	#DIV/0!
P53264	0.00000016
P32328	#DIV/0!
P47064	1.20E-06
Q12486	0.00000074
P43132	1.51E-07
Q03305	0.000000307
P53969	7.96E-08
P47025	#DIV/0!
Q08023	1.61E-06
P53848	2.41E-06
P25358	6.86E-07
P40046	0.000000233
P53894	1.88E-07
Q03735	1.80E-07
Q12291	0.000000098
Q12396	8.35E-07
P39960	6.03E-08
P11433	2.44E-08
P47164	3.29E-07
P32862	4.34E-08
P38635	8.32E-08
P36024	0.000000215
P04039	6.23E-06
P40081	7.49E-07
P31109	1.19E-06
Q12178	2.42E-06
Q12481	1.87E-07
P32798	1.45E-06
P32048	5.61E-08
P43638	#DIV/0!
Q03786	0.000000101
P33417	1.115E-07
P53309	3.07E-06
Q3E846	#DIV/0!
P34251	1.01E-07
P38172	4.22E-07
P19516	0.000000153
P38072	#DIV/0!
P38698	6.15E-08
P25365	#DIV/0!
Q12276	#DIV/0!
Q02770	5.92E-07
P52593	1.06E-07
P36149	1.52E-07
P36076	2.85E-08
P47107	7.92E-07
Q02805	#DIV/0!
P34163	1.09E-06
Q06479	6.30E-08
P18851	#DIV/0!
Q99189	2.93E-08
P45976	0.000000221
Q04344	#DIV/0!
P27809	6.28E-08
P39013	#DIV/0!
P40499	7.08E-08
P53378	9.98E-07
P37838	3.92E-08
P05318	7.67E-08
P38961	5.59E-08
P40579	#DIV/0!
P40002	1.21E-07
